transaction_id,pharmacy_id,drug_id,quantity_sold,sale_date,total_amount,promotion_applied_flag
T_3_1,50,136.0,7.0,2023-10-27,448.4,False
T_3_2,121,3.0,6.0,2023-06-07,347.16,True
T_3_3,89,96.0,18.0,2025-03-17,184.17,False
T_3_4,90,117.0,7.0,2024-03-01,,True
T_3_5,90,76.0,14.0,2024-08-13,344.21,True
T_3_6,132,15.0,9.0,2025-02-15,337.79,True
T_3_7,52,70.0,1.0,2024-12-09,367.21,True
T_3_8,63,121.0,10.0,2023-06-19,237.84,True
T_3_9,25,167.0,19.0,2024-02-10,89.58,False
T_3_10,63,157.0,10.0,2025-03-12,327.17,True
T_3_11,72,54.0,2.0,2024-02-11,463.12,True
T_3_12,44,189.0,11.0,2023-11-19,386.17,False
T_3_13,150,64.0,20.0,2023-07-25,62.03,False
T_3_14,71,5.0,14.0,2024-03-03,130.93,False
T_3_15,21,13.0,8.0,2024-06-19,182.77,False
T_3_16,145,124.0,6.0,2024-04-03,185.1,False
T_3_17,86,10.0,10.0,2024-07-27,341.32,False
T_3_18,141,185.0,20.0,2024-08-14,58.46,True
T_3_19,24,123.0,16.0,2024-07-22,198.47,True
T_3_20,19,103.0,19.0,2024-10-31,303.2,False
T_3_21,104,169.0,19.0,2024-09-15,157.0,False
T_3_22,43,73.0,18.0,2024-04-06,68.94,False
T_3_23,149,163.0,7.0,2024-12-22,26.69,True
T_3_24,24,76.0,13.0,2024-01-30,29.93,True
T_3_25,47,125.0,1.0,2023-10-18,441.5,False
T_3_26,105,37.0,14.0,2023-10-10,44.7,False
T_3_27,140,158.0,10.0,2024-05-28,246.52,True
T_3_28,61,81.0,6.0,2024-04-10,129.39,False
T_3_29,102,177.0,15.0,2023-08-28,230.87,True
T_3_30,21,164.0,17.0,2023-11-28,480.96,True
T_3_31,85,156.0,19.0,2024-08-21,7.97,True
T_3_32,30,124.0,20.0,2023-12-15,5.83,True
T_3_33,9,40.0,20.0,2024-09-06,176.41,False
T_3_34,56,97.0,4.0,2023-12-23,138.93,True
T_3_35,77,131.0,17.0,2023-08-28,315.2,True
T_3_36,138,127.0,2.0,2024-12-26,303.56,False
T_3_37,76,38.0,1.0,2024-07-01,102.23,True
T_3_38,7,88.0,6.0,2024-01-27,414.77,True
T_3_39,99,118.0,9.0,2025-02-18,201.84,False
T_3_40,43,107.0,9.0,2023-09-23,129.37,True
T_3_41,101,156.0,9.0,2024-12-02,17.16,True
T_3_42,116,138.0,7.0,2024-05-01,43.91,False
T_3_43,117,29.0,11.0,2024-05-19,364.14,False
T_3_44,141,27.0,11.0,2023-09-16,17.3,True
T_3_45,59,114.0,1.0,2024-07-22,302.87,False
T_3_46,79,53.0,19.0,2025-03-02,345.61,True
T_3_47,39,189.0,10.0,2023-11-19,493.06,True
T_3_48,19,177.0,4.0,2025-03-02,339.81,False
T_3_49,139,154.0,17.0,2024-06-24,74.38,True
T_3_50,21,4.0,5.0,2025-03-08,150.32,True
T_3_51,91,158.0,11.0,2023-06-28,412.76,True
T_3_52,112,71.0,,2023-12-22,76.99,False
T_3_53,76,14.0,18.0,2025-04-16,314.05,False
T_3_54,111,91.0,20.0,2024-01-19,33.13,True
T_3_55,32,171.0,7.0,2024-07-10,490.87,False
T_3_56,117,53.0,4.0,2023-12-31,225.4,True
T_3_57,112,167.0,6.0,2024-07-22,131.47,True
T_3_58,37,61.0,6.0,2024-12-15,245.26,True
T_3_59,13,52.0,16.0,2024-08-12,322.54,False
T_3_60,76,21.0,19.0,2024-03-14,63.79,False
T_3_61,142,31.0,8.0,2023-05-29,109.78,True
T_3_62,73,139.0,10.0,2024-08-25,358.93,True
T_3_63,24,114.0,15.0,2024-03-17,7.98,False
T_3_64,66,186.0,19.0,2023-06-30,94.89,False
T_3_65,33,5.0,10.0,2023-11-10,107.42,True
T_3_66,109,181.0,10.0,2023-06-05,398.85,False
T_3_67,97,63.0,12.0,2025-02-17,135.29,True
T_3_68,14,100.0,6.0,2024-10-20,357.35,False
T_3_69,13,31.0,19.0,2024-01-12,209.13,False
T_3_70,90,130.0,12.0,2025-03-28,11.72,False
T_3_71,66,34.0,19.0,2025-02-05,333.22,False
T_3_72,148,55.0,9.0,2024-04-22,452.42,False
T_3_73,92,53.0,4.0,2024-11-12,362.18,True
T_3_74,103,47.0,11.0,2025-01-21,309.86,False
T_3_75,145,99.0,14.0,2023-06-01,258.88,False
T_3_76,105,73.0,14.0,2024-12-30,457.07,False
T_3_77,52,110.0,12.0,2023-06-18,460.43,False
T_3_78,109,47.0,13.0,2024-01-16,211.98,False
T_3_79,113,56.0,13.0,2024-02-03,110.73,False
T_3_80,33,84.0,19.0,2024-01-08,315.96,False
T_3_81,130,71.0,6.0,2023-06-05,,False
T_3_82,23,45.0,13.0,2024-11-01,19.56,True
T_3_83,13,85.0,17.0,2025-02-09,453.62,True
T_3_84,75,125.0,4.0,2024-11-22,133.01,True
T_3_85,36,16.0,9.0,2025-01-23,453.38,False
T_3_86,107,124.0,14.0,2024-08-04,277.37,False
T_3_87,86,61.0,15.0,2023-12-09,299.16,False
T_3_88,15,129.0,12.0,2024-12-01,267.91,False
T_3_89,118,84.0,9.0,2025-03-26,114.78,True
T_3_90,67,113.0,20.0,2024-01-01,464.08,True
T_3_91,29,81.0,7.0,2024-10-03,110.61,False
T_3_92,50,15.0,11.0,2024-03-14,412.12,True
T_3_93,54,177.0,5.0,2023-11-08,385.03,False
T_3_94,28,86.0,7.0,2024-03-12,256.03,False
T_3_95,14,161.0,8.0,2023-12-17,86.86,True
T_3_96,28,124.0,10.0,2024-08-15,133.48,False
T_3_97,11,185.0,8.0,2023-09-06,486.79,True
T_3_98,129,42.0,2.0,2025-02-16,451.56,False
T_3_99,91,51.0,18.0,2024-12-19,428.62,False
T_3_100,53,126.0,12.0,2023-06-06,433.73,False
T_3_101,142,134.0,2.0,2024-11-11,39.56,True
T_3_102,82,69.0,20.0,2025-01-21,372.25,False
T_3_103,82,26.0,10.0,2023-11-27,393.62,False
T_3_104,43,51.0,19.0,2023-09-11,155.69,False
T_3_105,34,10.0,16.0,2024-05-06,279.85,False
T_3_106,22,165.0,17.0,2024-06-28,111.84,False
T_3_107,30,79.0,8.0,2024-06-25,399.43,False
T_3_108,32,185.0,3.0,2024-09-05,34.35,False
T_3_109,82,35.0,14.0,2024-04-11,346.32,True
T_3_110,43,112.0,6.0,2023-06-10,486.73,False
T_3_111,22,160.0,16.0,2024-04-01,117.18,True
T_3_112,145,74.0,2.0,2024-01-28,244.71,False
T_3_113,136,19.0,16.0,2024-06-11,98.8,False
T_3_114,41,72.0,5.0,2024-08-17,217.67,False
T_3_115,111,193.0,11.0,2025-03-08,76.47,False
T_3_116,100,136.0,9.0,2023-08-22,488.29,False
T_3_117,44,155.0,15.0,2023-09-13,321.43,False
T_3_118,123,48.0,18.0,2024-02-14,432.06,False
T_3_119,143,143.0,20.0,2024-04-10,189.4,False
T_3_120,48,174.0,8.0,2024-11-19,319.11,True
T_3_121,11,61.0,16.0,2024-07-31,212.22,True
T_3_122,119,161.0,7.0,2023-06-12,491.0,True
